job_id	job_name	kind	log_file	sbatch_file	evidence
6866	apex_eval_survival_utility_controller_v4_balanced__temp0p0__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p0___6866.err		[2026-08-08T22:14:32.006] error: *** JOB 6866 ON ip-10-4-228-28 CANCELLED AT 2026-08-08T22:14:32 DUE TO TIME LIMIT ***
6867	apex_eval_survival_utility_controller_v4_balanced__temp0p0__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p0___6867.err		[2026-08-09T01:16:05.005] error: *** JOB 6867 ON ip-10-4-225-127 CANCELLED AT 2026-08-09T01:16:05 DUE TO TIME LIMIT ***
6868	apex_eval_survival_utility_controller_v4_balanced__temp0p0__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p0___6868.err		[2026-08-09T01:16:05.004] error: *** JOB 6868 ON ip-10-4-236-132 CANCELLED AT 2026-08-09T01:16:05 DUE TO TIME LIMIT ***
6869	apex_eval_survival_utility_controller_v4_balanced__temp0p1__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p1___6869.err		[2026-08-09T09:32:08.004] error: *** JOB 6869 ON ip-10-4-226-63 CANCELLED AT 2026-08-09T09:32:08 DUE TO TIME LIMIT ***
6870	apex_eval_survival_utility_controller_v4_balanced__temp0p1__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p1___6870.err		[2026-08-09T10:14:40.005] error: *** JOB 6870 ON ip-10-4-244-188 CANCELLED AT 2026-08-09T10:14:40 DUE TO TIME LIMIT ***
6871	apex_eval_survival_utility_controller_v4_balanced__temp0p1__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p1___6871.err		[2026-08-09T10:14:40.008] error: *** JOB 6871 ON ip-10-4-224-22 CANCELLED AT 2026-08-09T10:14:40 DUE TO TIME LIMIT ***
6872	apex_eval_survival_utility_controller_v4_balanced__temp0p5__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p5___6872.err		[2026-08-09T10:14:40.006] error: *** JOB 6872 ON ip-10-4-254-219 CANCELLED AT 2026-08-09T10:14:40 DUE TO TIME LIMIT ***
6873	apex_eval_survival_utility_controller_v4_balanced__temp0p5__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p5___6873.err		[2026-08-09T10:14:40.005] error: *** JOB 6873 ON ip-10-4-228-28 CANCELLED AT 2026-08-09T10:14:40 DUE TO TIME LIMIT ***
6874	apex_eval_survival_utility_controller_v4_balanced__temp0p5__	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p5___6874.err		[2026-08-09T13:16:09.004] error: *** JOB 6874 ON ip-10-4-225-127 CANCELLED AT 2026-08-09T13:16:09 DUE TO TIME LIMIT ***
6875	apex_eval_survival_utility_controller_v4_efficient__temp0p0_	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p0__6875.err		[2026-08-09T13:16:09.005] error: *** JOB 6875 ON ip-10-4-236-132 CANCELLED AT 2026-08-09T13:16:09 DUE TO TIME LIMIT ***
6876	apex_eval_survival_utility_controller_v4_efficient__temp0p0_	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p0__6876.err		[2026-08-09T19:48:40.004] error: *** JOB 6876 ON ip-10-4-244-174 CANCELLED AT 2026-08-09T19:48:40 DUE TO TIME LIMIT ***
6877	apex_eval_survival_utility_controller_v4_efficient__temp0p0_	TIME_LIMIT	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p0__6877.err		[2026-08-09T19:48:40.004] error: *** JOB 6877 ON ip-10-4-250-35 CANCELLED AT 2026-08-09T19:48:40 DUE TO TIME LIMIT ***
